type,date,epop
Some college,"November, 2011",7.7
Some college,"October, 2011",8.1
Some college,"September, 2011",8.5
Some college,"August, 2011",8.3
Some college,"July, 2011",8.3
Some college,"June, 2011",8.3
Some college,"May, 2011",7.8
Some college,"April, 2011",7.5
Some college,"March, 2011",7.5
Some college,"February, 2011",7.9
Some college,"January, 2011",8.1
Some college,"December, 2010",8.1
Some college,"November, 2010",8.6
Some college,"October, 2010",8.2
Some college,"September, 2010",8.9
Some college,"August, 2010",8.7
Some college,"July, 2010",8.3
Some college,"June, 2010",8.1
Some college,"May, 2010",8.2
Some college,"April, 2010",8.4
Some college,"March, 2010",8.4
Some college,"February, 2010",8.1
Some college,"January, 2010",8.6
Some college,"December, 2009",8.7
Some college,"November, 2009",8.8
Some college,"October, 2009",8.7
Some college,"September, 2009",8.3
Some college,"August, 2009",8.1
Some college,"July, 2009",8.0
Some college,"June, 2009",8.1
Some college,"May, 2009",7.8
Some college,"April, 2009",7.7
Some college,"March, 2009",7.5
Some college,"February, 2009",7.3
Some college,"January, 2009",6.5
Some college,"December, 2008",5.7
Some college,"November, 2008",5.5
Some college,"October, 2008",5.2
Some college,"September, 2008",5.0
Some college,"August, 2008",4.9
Some college,"July, 2008",4.6
Some college,"June, 2008",4.3
Some college,"May, 2008",4.3
Some college,"April, 2008",4.0
Some college,"March, 2008",3.9
Some college,"February, 2008",3.8
Some college,"January, 2008",3.7
Some college,"December, 2007",3.8
Some college,"November, 2007",3.3
Some college,"October, 2007",3.5
Some college,"September, 2007",3.4
Some college,"August, 2007",3.6
Some college,"July, 2007",3.6
Some college,"June, 2007",3.5
Some college,"May, 2007",3.4
Some college,"April, 2007",3.6
Some college,"March, 2007",3.6
Some college,"February, 2007",3.6
Some college,"January, 2007",3.8
Some college,"December, 2006",3.4
Some college,"November, 2006",3.4
Some college,"October, 2006",3.4
Some college,"September, 2006",3.6
Some college,"August, 2006",3.5
Some college,"July, 2006",3.6
Some college,"June, 2006",3.5
Some college,"May, 2006",3.8
Some college,"April, 2006",3.8
Some college,"March, 2006",3.7
Some college,"February, 2006",3.6
Some college,"January, 2006",3.6
Some college,"December, 2005",3.9
Some college,"November, 2005",3.9
Some college,"October, 2005",3.8
Some college,"September, 2005",3.7
Some college,"August, 2005",3.5
Some college,"July, 2005",3.7
Some college,"June, 2005",3.9
Some college,"May, 2005",3.9
Some college,"April, 2005",3.9
Some college,"March, 2005",3.9
Some college,"February, 2005",4.2
Some college,"January, 2005",4.1
Some college,"December, 2004",4.2
Some college,"November, 2004",4.3
Some college,"October, 2004",4.2
Some college,"September, 2004",4.1
Some college,"August, 2004",4.1
Some college,"July, 2004",4.2
Some college,"June, 2004",4.1
Some college,"May, 2004",4.0
Some college,"April, 2004",4.1
Some college,"March, 2004",4.7
Some college,"February, 2004",4.3
Some college,"January, 2004",4.5
Some college,"December, 2003",4.4
Some college,"November, 2003",4.7
Some college,"October, 2003",4.8
Some college,"September, 2003",4.9
Some college,"August, 2003",4.9
Some college,"July, 2003",5.0
Some college,"June, 2003",4.9
Some college,"May, 2003",4.9
Some college,"April, 2003",4.8
Some college,"March, 2003",4.8
Some college,"February, 2003",4.7
Some college,"January, 2003",4.7
Some college,"December, 2002",4.9
Some college,"November, 2002",4.7
Some college,"October, 2002",4.6
Some college,"September, 2002",4.6
Some college,"August, 2002",4.4
Some college,"July, 2002",4.4
Some college,"June, 2002",4.6
Some college,"May, 2002",4.8
Some college,"April, 2002",4.6
Some college,"March, 2002",4.3
Some college,"February, 2002",4.2
Some college,"January, 2002",4.3
Some college,"December, 2001",4.2
Some college,"November, 2001",4.2
Some college,"October, 2001",4.1
Some college,"September, 2001",3.4
Some college,"August, 2001",3.3
Some college,"July, 2001",3.0
Some college,"June, 2001",3.0
Some college,"May, 2001",3.0
Some college,"April, 2001",2.9
Some college,"March, 2001",2.7
Some college,"February, 2001",2.8
Some college,"January, 2001",3.0
Some college,"December, 2000",2.7
Some college,"November, 2000",2.6
Some college,"October, 2000",2.4
Some college,"September, 2000",2.6
Some college,"August, 2000",2.8
Some college,"July, 2000",2.8
Some college,"June, 2000",2.7
Some college,"May, 2000",2.6
Some college,"April, 2000",2.6
Some college,"March, 2000",2.8
Some college,"February, 2000",3.0
Some college,"January, 2000",2.6
Bachelor's degree or greater,"October, 2016",2.6
Bachelor's degree or greater,"September, 2016",2.5
Bachelor's degree or greater,"August, 2016",2.7
Bachelor's degree or greater,"July, 2016",2.5
Bachelor's degree or greater,"June, 2016",2.5
Bachelor's degree or greater,"May, 2016",2.4
Bachelor's degree or greater,"April, 2016",2.4
Bachelor's degree or greater,"March, 2016",2.6
Bachelor's degree or greater,"February, 2016",2.5
Bachelor's degree or greater,"January, 2016",2.5
Bachelor's degree or greater,"December, 2015",2.5
Bachelor's degree or greater,"November, 2015",2.5
Bachelor's degree or greater,"October, 2015",2.5
Bachelor's degree or greater,"September, 2015",2.5
Bachelor's degree or greater,"August, 2015",2.5
Bachelor's degree or greater,"July, 2015",2.5
Bachelor's degree or greater,"June, 2015",2.5
Bachelor's degree or greater,"May, 2015",2.7
Bachelor's degree or greater,"April, 2015",2.7
Bachelor's degree or greater,"March, 2015",2.5
Bachelor's degree or greater,"February, 2015",2.7
Bachelor's degree or greater,"January, 2015",2.8
Bachelor's degree or greater,"December, 2014",2.8
Bachelor's degree or greater,"November, 2014",3.1
Bachelor's degree or greater,"October, 2014",3.0
Bachelor's degree or greater,"September, 2014",2.9
Bachelor's degree or greater,"August, 2014",3.2
Bachelor's degree or greater,"July, 2014",3.1
Bachelor's degree or greater,"June, 2014",3.3
Bachelor's degree or greater,"May, 2014",3.2
Bachelor's degree or greater,"April, 2014",3.3
Bachelor's degree or greater,"March, 2014",3.4
Bachelor's degree or greater,"February, 2014",3.4
Bachelor's degree or greater,"January, 2014",3.3
Bachelor's degree or greater,"December, 2013",3.3
Bachelor's degree or greater,"November, 2013",3.4
Bachelor's degree or greater,"October, 2013",3.8
Bachelor's degree or greater,"September, 2013",3.7
Bachelor's degree or greater,"August, 2013",3.4
Bachelor's degree or greater,"July, 2013",3.8
Bachelor's degree or greater,"June, 2013",3.8
Bachelor's degree or greater,"May, 2013",3.8
Bachelor's degree or greater,"April, 2013",3.9
Bachelor's degree or greater,"March, 2013",3.8
Bachelor's degree or greater,"February, 2013",3.8
Bachelor's degree or greater,"January, 2013",3.8
Bachelor's degree or greater,"December, 2012",4.0
Bachelor's degree or greater,"November, 2012",3.9
Bachelor's degree or greater,"October, 2012",3.7
Bachelor's degree or greater,"September, 2012",4.0
Bachelor's degree or greater,"August, 2012",4.1
Bachelor's degree or greater,"July, 2012",4.1
Bachelor's degree or greater,"June, 2012",4.0
Bachelor's degree or greater,"May, 2012",3.9
Bachelor's degree or greater,"April, 2012",4.0
Bachelor's degree or greater,"March, 2012",4.1
Bachelor's degree or greater,"February, 2012",4.2
Bachelor's degree or greater,"January, 2012",4.3
Bachelor's degree or greater,"December, 2011",4.1
Bachelor's degree or greater,"November, 2011",4.4
Bachelor's degree or greater,"October, 2011",4.3
Bachelor's degree or greater,"September, 2011",4.2
Bachelor's degree or greater,"August, 2011",4.2
Bachelor's degree or greater,"July, 2011",4.2
Bachelor's degree or greater,"June, 2011",4.3
Bachelor's degree or greater,"May, 2011",4.5
Bachelor's degree or greater,"April, 2011",4.5
Bachelor's degree or greater,"March, 2011",4.4
Bachelor's degree or greater,"February, 2011",4.3
Bachelor's degree or greater,"January, 2011",4.3
Bachelor's degree or greater,"December, 2010",4.8
Bachelor's degree or greater,"November, 2010",5.0
Bachelor's degree or greater,"October, 2010",4.6
Bachelor's degree or greater,"September, 2010",4.5
Bachelor's degree or greater,"August, 2010",4.6
Bachelor's degree or greater,"July, 2010",4.5
Bachelor's degree or greater,"June, 2010",4.4
Bachelor's degree or greater,"May, 2010",4.6
Bachelor's degree or greater,"April, 2010",4.8
Bachelor's degree or greater,"March, 2010",4.9
Bachelor's degree or greater,"February, 2010",4.9
Bachelor's degree or greater,"January, 2010",4.9
Bachelor's degree or greater,"December, 2009",4.9
Bachelor's degree or greater,"November, 2009",4.8
Bachelor's degree or greater,"October, 2009",4.7
Bachelor's degree or greater,"September, 2009",5.0
Bachelor's degree or greater,"August, 2009",4.8
Bachelor's degree or greater,"July, 2009",4.8
Bachelor's degree or greater,"June, 2009",4.8
Bachelor's degree or greater,"May, 2009",4.8
Bachelor's degree or greater,"April, 2009",4.4
Bachelor's degree or greater,"March, 2009",4.3
Bachelor's degree or greater,"February, 2009",4.1
Bachelor's degree or greater,"January, 2009",3.9
Bachelor's degree or greater,"December, 2008",3.6
Bachelor's degree or greater,"November, 2008",3.2
Bachelor's degree or greater,"October, 2008",3.1
Bachelor's degree or greater,"September, 2008",2.6
Bachelor's degree or greater,"August, 2008",2.8
Bachelor's degree or greater,"July, 2008",2.5
Bachelor's degree or greater,"June, 2008",2.4
Bachelor's degree or greater,"May, 2008",2.2
Bachelor's degree or greater,"April, 2008",2.1
Bachelor's degree or greater,"March, 2008",2.1
Bachelor's degree or greater,"February, 2008",2.0
Bachelor's degree or greater,"January, 2008",2.1
Bachelor's degree or greater,"December, 2007",2.1
Bachelor's degree or greater,"November, 2007",2.2
Bachelor's degree or greater,"October, 2007",2.1
Bachelor's degree or greater,"September, 2007",2.0
Bachelor's degree or greater,"August, 2007",2.1
Bachelor's degree or greater,"July, 2007",2.1
Bachelor's degree or greater,"June, 2007",2.0
Bachelor's degree or greater,"May, 2007",2.0
Bachelor's degree or greater,"April, 2007",1.9
Bachelor's degree or greater,"March, 2007",1.8
Bachelor's degree or greater,"February, 2007",1.9
Bachelor's degree or greater,"January, 2007",2.1
Bachelor's degree or greater,"December, 2006",1.8
Bachelor's degree or greater,"November, 2006",1.8
Bachelor's degree or greater,"October, 2006",1.9
Bachelor's degree or greater,"September, 2006",2.1
Bachelor's degree or greater,"August, 2006",1.8
Bachelor's degree or greater,"July, 2006",2.0
Bachelor's degree or greater,"June, 2006",2.1
Bachelor's degree or greater,"May, 2006",2.1
Bachelor's degree or greater,"April, 2006",2.2
Bachelor's degree or greater,"March, 2006",2.2
Bachelor's degree or greater,"February, 2006",2.2
